date,season,team,opp,event,crown_holder,crown_team,prev_holder,prev_team,gmsc,streak,total_games
2011-04-17,2011,NOH,LAL,transfer_loss,Chris Paul,NOH,Pau Gasol,LAL,37.50,1,1
2011-04-20,2011,LAL,NOH,transfer_loss,Andrew Bynum,LAL,Chris Paul,NOH,15.10,1,1
2011-04-22,2011,LAL,NOH,transfer_teammate,Kobe Bryant,LAL,Andrew Bynum,LAL,21.70,1,1
2011-04-24,2011,NOH,LAL,transfer_loss,Chris Paul,NOH,Kobe Bryant,LAL,31.40,1,1
2011-04-26,2011,LAL,NOH,transfer_loss,Andrew Bynum,LAL,Chris Paul,NOH,15.90,1,1
2011-04-28,2011,LAL,NOH,defend,Andrew Bynum,LAL,Andrew Bynum,LAL,17.20,2,2
2011-05-02,2011,DAL,LAL,transfer_loss,Dirk Nowitzki,DAL,Andrew Bynum,LAL,25.00,1,1
2011-05-04,2011,DAL,LAL,defend,Dirk Nowitzki,DAL,Dirk Nowitzki,DAL,18.10,2,2
2011-05-06,2011,DAL,LAL,defend,Dirk Nowitzki,DAL,Dirk Nowitzki,DAL,22.80,3,3
2011-05-08,2011,DAL,LAL,transfer_teammate,Jason Terry,DAL,Dirk Nowitzki,DAL,26.20,1,1
2011-05-17,2011,DAL,OKC,transfer_teammate,Dirk Nowitzki,DAL,Jason Terry,DAL,46.50,1,1
2011-05-19,2011,OKC,DAL,transfer_loss,James Harden,OKC,Dirk Nowitzki,DAL,24.80,1,1
2011-05-21,2011,DAL,OKC,transfer_loss,Jason Kidd,DAL,James Harden,OKC,15.80,1,1
2011-05-23,2011,DAL,OKC,transfer_teammate,Dirk Nowitzki,DAL,Jason Kidd,DAL,29.20,1,1
2011-05-25,2011,DAL,OKC,transfer_teammate,Shawn Marion,DAL,Dirk Nowitzki,DAL,24.10,1,1
2011-05-31,2011,MIA,DAL,transfer_loss,LeBron James,MIA,Shawn Marion,DAL,21.00,1,1
2011-06-02,2011,DAL,MIA,transfer_loss,Shawn Marion,DAL,LeBron James,MIA,17.40,1,1
2011-06-05,2011,MIA,DAL,transfer_loss,Dwyane Wade,MIA,Shawn Marion,DAL,25.80,1,1
2011-06-07,2011,DAL,MIA,transfer_loss,Tyson Chandler,DAL,Dwyane Wade,MIA,17.40,1,1
2011-06-09,2011,DAL,MIA,transfer_teammate,Dirk Nowitzki,DAL,Tyson Chandler,DAL,22.10,1,1
2011-06-12,2011,DAL,MIA,transfer_teammate,Jason Terry,DAL,Dirk Nowitzki,DAL,20.70,1,1
2012-04-28,2012,OKC,DAL,transfer_loss,Serge Ibaka,OKC,Jason Terry,DAL,24.20,1,1
2012-04-30,2012,OKC,DAL,transfer_teammate,James Harden,OKC,Serge Ibaka,OKC,17.70,1,1
2012-05-03,2012,OKC,DAL,transfer_teammate,Kevin Durant,OKC,James Harden,OKC,29.70,1,1
2012-05-05,2012,OKC,DAL,transfer_teammate,James Harden,OKC,Kevin Durant,OKC,27.30,1,1
2012-05-14,2012,OKC,LAL,transfer_teammate,Russell Westbrook,OKC,James Harden,OKC,29.50,1,1
2012-05-16,2012,OKC,LAL,transfer_teammate,Kevin Durant,OKC,Russell Westbrook,OKC,18.30,1,1
2012-05-18,2012,LAL,OKC,transfer_loss,Kobe Bryant,LAL,Kevin Durant,OKC,27.60,1,1
2012-05-19,2012,OKC,LAL,transfer_loss,Russell Westbrook,OKC,Kobe Bryant,LAL,28.10,1,1
2012-05-21,2012,OKC,LAL,transfer_teammate,Kevin Durant,OKC,Russell Westbrook,OKC,19.30,1,1
2012-05-27,2012,SAS,OKC,transfer_loss,Manu Ginóbili,SAS,Kevin Durant,OKC,20.60,1,1
2012-05-29,2012,SAS,OKC,transfer_teammate,Tony Parker,SAS,Manu Ginóbili,SAS,28.20,1,1
2012-05-31,2012,OKC,SAS,transfer_loss,Thabo Sefolosha,OKC,Tony Parker,SAS,20.20,1,1
2012-06-02,2012,OKC,SAS,transfer_teammate,Kevin Durant,OKC,Thabo Sefolosha,OKC,34.30,1,1
2012-06-04,2012,OKC,SAS,defend,Kevin Durant,OKC,Kevin Durant,OKC,21.70,2,2
2012-06-06,2012,OKC,SAS,defend,Kevin Durant,OKC,Kevin Durant,OKC,31.80,3,3
2012-06-12,2012,OKC,MIA,defend,Kevin Durant,OKC,Kevin Durant,OKC,29.90,4,4
2012-06-14,2012,MIA,OKC,transfer_loss,LeBron James,MIA,Kevin Durant,OKC,24.70,1,1
2012-06-17,2012,MIA,OKC,defend,LeBron James,MIA,LeBron James,MIA,20.40,2,2
2012-06-19,2012,MIA,OKC,defend,LeBron James,MIA,LeBron James,MIA,25.30,3,3
2012-06-21,2012,MIA,OKC,defend,LeBron James,MIA,LeBron James,MIA,25.50,4,4
2013-04-21,2013,MIA,MIL,defend,LeBron James,MIA,LeBron James,MIA,25.30,5,5
2013-04-23,2013,MIA,MIL,transfer_teammate,Dwyane Wade,MIA,LeBron James,MIA,17.60,1,1
2013-04-25,2013,MIA,MIL,transfer_teammate,Ray Allen,MIA,Dwyane Wade,MIA,18.30,1,1
2013-04-28,2013,MIA,MIL,transfer_teammate,LeBron James,MIA,Ray Allen,MIA,25.60,1,1
2013-05-06,2013,CHI,MIA,transfer_loss,Nate Robinson,CHI,LeBron James,MIA,21.40,1,1
2013-05-08,2013,MIA,CHI,transfer_loss,Ray Allen,MIA,Nate Robinson,CHI,21.00,1,1
2013-05-10,2013,MIA,CHI,transfer_teammate,LeBron James,MIA,Ray Allen,MIA,23.80,1,1
2013-05-13,2013,MIA,CHI,defend,LeBron James,MIA,LeBron James,MIA,20.90,2,2
2013-05-15,2013,MIA,CHI,defend,LeBron James,MIA,LeBron James,MIA,20.50,3,3
2013-05-22,2013,MIA,IND,defend,LeBron James,MIA,LeBron James,MIA,24.10,4,4
2013-05-24,2013,IND,MIA,transfer_loss,Roy Hibbert,IND,LeBron James,MIA,22.60,1,1
2013-05-26,2013,MIA,IND,transfer_loss,Dwyane Wade,MIA,Roy Hibbert,IND,17.80,1,1
2013-05-28,2013,IND,MIA,transfer_loss,Roy Hibbert,IND,Dwyane Wade,MIA,20.70,1,1
2013-05-30,2013,MIA,IND,transfer_loss,LeBron James,MIA,Roy Hibbert,IND,21.70,1,1
2013-06-01,2013,IND,MIA,transfer_loss,Paul George,IND,LeBron James,MIA,20.00,1,1
2013-06-03,2013,MIA,IND,transfer_loss,LeBron James,MIA,Paul George,IND,29.20,1,1
2013-06-06,2013,SAS,MIA,transfer_loss,Tim Duncan,SAS,LeBron James,MIA,17.60,1,1
2013-06-09,2013,MIA,SAS,transfer_loss,Chris Bosh,MIA,Tim Duncan,SAS,18.10,1,1
2013-06-11,2013,SAS,MIA,transfer_loss,Danny Green,SAS,Chris Bosh,MIA,25.50,1,1
2013-06-13,2013,MIA,SAS,transfer_loss,Dwyane Wade,MIA,Danny Green,SAS,30.60,1,1
2013-06-16,2013,SAS,MIA,transfer_loss,Manu Ginóbili,SAS,Dwyane Wade,MIA,21.00,1,1
2013-06-18,2013,MIA,SAS,transfer_loss,LeBron James,MIA,Manu Ginóbili,SAS,25.80,1,1
2013-06-20,2013,MIA,SAS,defend,LeBron James,MIA,LeBron James,MIA,32.50,2,2
2014-04-20,2014,MIA,CHA,transfer_teammate,Dwyane Wade,MIA,LeBron James,MIA,19.20,1,1
2014-04-23,2014,MIA,CHA,transfer_teammate,LeBron James,MIA,Dwyane Wade,MIA,29.90,1,1
2014-04-26,2014,MIA,CHA,defend,LeBron James,MIA,LeBron James,MIA,27.80,2,2
2014-04-28,2014,MIA,CHA,defend,LeBron James,MIA,LeBron James,MIA,29.80,3,3
2014-05-06,2014,MIA,BRK,defend,LeBron James,MIA,LeBron James,MIA,17.70,4,4
2014-05-08,2014,MIA,BRK,defend,LeBron James,MIA,LeBron James,MIA,15.40,5,5
2014-05-10,2014,BRK,MIA,transfer_loss,Joe Johnson,BRK,LeBron James,MIA,17.90,1,1
